timestamp,cpu,memory,disk
2026-04-24 01:29:02,38.6,85.4,0.7
2026-04-24 01:29:04,3.3,85.5,0.7
2026-04-24 01:29:06,1.6,85.4,0.7
2026-04-24 01:29:08,6.0,85.4,0.7
2026-04-24 01:29:10,3.1,85.1,0.7
2026-04-24 01:29:12,6.1,85.1,0.7
2026-04-24 01:29:14,5.3,85.1,0.7
2026-04-24 01:29:16,9.4,84.9,0.7
2026-04-24 01:29:18,7.9,84.8,0.7
2026-04-24 01:29:20,22.0,84.8,0.7
2026-04-24 01:29:22,30.4,85.2,0.7
2026-04-24 01:29:24,34.5,85.1,0.7
2026-04-24 01:29:26,24.1,85.3,0.7
2026-04-24 01:29:28,19.0,85.2,0.7
2026-04-24 01:29:30,12.4,85.4,0.7
2026-04-24 01:29:32,18.4,85.2,0.7
2026-04-24 01:29:34,3.9,85.2,0.7
2026-04-24 01:29:36,11.7,85.1,0.7
2026-04-24 01:29:38,24.9,85.2,0.7
2026-04-24 01:29:40,15.9,85.0,0.7
2026-04-24 01:29:42,10.6,84.8,0.7
2026-04-24 01:29:44,1.6,84.8,0.7
2026-04-24 01:29:46,5.8,84.9,0.7
2026-04-24 01:29:48,2.7,84.9,0.7
2026-04-24 01:29:50,1.4,84.8,0.7
2026-04-24 01:29:53,6.1,85.0,0.7
2026-04-24 01:29:55,35.2,85.1,0.7
2026-04-24 01:29:57,1.7,85.0,0.7
2026-04-24 01:29:59,7.3,84.8,0.7
2026-04-24 01:30:01,2.0,84.8,0.7
2026-04-24 01:30:03,0.2,84.8,0.7
2026-04-24 01:30:05,4.8,84.8,0.7
2026-04-24 01:30:07,3.9,84.8,0.7
2026-04-24 01:30:09,2.9,84.7,0.7
2026-04-24 01:30:11,8.0,84.8,0.7
2026-04-24 01:30:13,5.9,85.1,0.7
2026-04-24 01:30:15,2.1,85.0,0.7
2026-04-24 01:30:17,9.7,85.2,0.7
2026-04-24 01:30:19,12.5,85.2,0.7
2026-04-24 01:30:21,4.5,85.5,0.7
2026-04-24 01:30:23,2.1,85.4,0.7
2026-04-24 01:30:25,5.0,85.4,0.7
2026-04-24 01:30:27,2.5,85.4,0.7
2026-04-24 01:30:29,3.5,85.4,0.7
2026-04-24 01:30:31,1.8,85.4,0.7
2026-04-24 01:30:33,1.2,85.4,0.7
2026-04-24 01:30:35,1.8,85.4,0.7
2026-04-24 01:30:37,2.7,85.3,0.7
2026-04-24 01:30:39,0.8,85.3,0.7
2026-04-24 01:30:41,3.9,85.3,0.7
2026-04-24 01:30:43,1.5,85.3,0.7
2026-04-24 01:30:45,59.5,85.4,0.7
2026-04-24 01:30:47,39.2,85.4,0.7
2026-04-24 01:30:49,6.6,85.4,0.7
2026-04-24 01:30:51,13.7,85.5,0.7
2026-04-24 01:30:53,19.3,85.7,0.7
2026-04-24 01:30:55,6.2,85.7,0.7
2026-04-24 01:30:57,7.2,85.6,0.7
2026-04-24 01:30:59,14.9,85.8,0.7
2026-04-24 01:31:01,4.3,86.0,0.7
2026-04-24 01:31:03,33.1,86.3,0.7
2026-04-24 01:31:05,56.0,86.6,0.7
2026-04-24 01:31:07,21.4,86.8,0.7
2026-04-24 01:31:09,30.7,86.8,0.7
2026-04-24 01:31:11,2.7,86.7,0.7
2026-04-24 01:31:13,2.9,86.7,0.7
2026-04-24 01:31:15,14.2,86.7,0.7
2026-04-24 01:31:17,19.4,86.6,0.7
2026-04-24 01:31:19,24.3,87.8,0.7
